"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","target"
28,"services","single","high.school","no","no","no","cellular","may","wed",649,2,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"yes"
68,"retired","divorced","high.school","no","yes","yes","cellular","jul","wed",340,1,1,"success",-1.7,94.215,-40.3,0.896,4991.6,"yes"
31,"services","married","high.school","no","yes","no","cellular","may","tue",398,6,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes"
31,"entrepreneur","single","basic.9y","no","no","no","telephone","jun","mon",1248,3,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"yes"
77,"retired","married","basic.4y","no","yes","no","cellular","sep","thu",190,1,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"yes"
39,"admin.","married","basic.6y","unknown","no","no","cellular","jul","wed",1176,1,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
35,"admin.","married","high.school","no","yes","no","cellular","oct","thu",194,1,1,"success",-3.4,92.431,-26.9,0.754,5017.5,"yes"
41,"technician","married","professional.course","no","no","no","cellular","mar","fri",229,2,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,"yes"
30,"services","single","high.school","no","no","no","cellular","nov","fri",648,1,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes"
43,"technician","married","professional.course","unknown","no","no","cellular","aug","tue",926,2,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
32,"technician","married","professional.course","no","yes","no","cellular","oct","wed",275,2,0,"nonexistent",-1.1,94.601,-49.5,0.959,4963.6,"yes"
40,"blue-collar","married","basic.9y","no","no","yes","telephone","jul","tue",1135,2,0,"nonexistent",1.4,93.918,-42.7,4.955,5228.1,"yes"
36,"technician","married","professional.course","unknown","no","no","cellular","oct","thu",667,1,0,"nonexistent",-3.4,92.431,-26.9,0.741,5017.5,"yes"
38,"unemployed","married","basic.4y","unknown","no","no","cellular","jul","tue",1058,1,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
33,"admin.","single","university.degree","unknown","no","yes","cellular","apr","fri",526,1,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
80,"housemaid","married","basic.4y","no","yes","yes","cellular","apr","tue",232,1,1,"success",-1.8,93.749,-34.6,0.644,5008.7,"yes"
59,"admin.","divorced","high.school","no","no","no","cellular","nov","thu",357,3,2,"success",-1.1,94.767,-50.8,1.05,4963.6,"yes"
30,"management","married","university.degree","no","yes","no","cellular","apr","thu",271,1,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"yes"
32,"admin.","single","university.degree","no","no","no","telephone","may","fri",588,3,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
46,"admin.","married","university.degree","no","yes","no","cellular","jul","fri",341,3,0,"nonexistent",-1.7,94.215,-40.3,0.822,4991.6,"yes"
