"ID";"day";"month";"duration";"campaign";"y"
10478;16;"jun";424;2;"no"
14067;11;"jul";196;2;"no"
11408;19;"jun";63;1;"no"
3824;16;"may";38;2;"no"
19648;7;"aug";152;2;"no"
7092;29;"may";155;1;"no"
15573;21;"jul";140;4;"no"
6866;28;"may";88;3;"no"
32967;17;"apr";1426;2;"no"
42636;12;"jan";512;2;"yes"
16808;24;"jul";209;2;"no"
29113;2;"feb";237;1;"no"
32786;17;"apr";123;1;"no"
20651;12;"aug";260;3;"no"
21651;19;"aug";69;2;"no"
45031;15;"oct";94;5;"no"
6396;27;"may";140;2;"no"
9736;9;"jun";94;13;"no"
38647;15;"may";800;5;"no"
42188;10;"nov";193;2;"yes"
26698;20;"nov";279;1;"no"
12356;26;"jun";45;2;"no"
35371;7;"may";172;1;"no"
43097;22;"feb";363;2;"no"
14728;15;"jul";547;12;"no"
15471;18;"jul";351;2;"no"
14698;15;"jul";260;5;"no"
17112;25;"jul";164;4;"no"
13077;8;"jul";82;1;"no"
12996;7;"jul";88;1;"no"
21723;19;"aug";155;3;"no"
20465;12;"aug";117;9;"no"
40606;4;"aug";149;1;"no"
15623;21;"jul";226;1;"no"
39619;26;"may";114;7;"no"
33473;20;"apr";239;3;"no"
35355;7;"may";154;1;"no"
24113;30;"oct";160;1;"yes"
16240;23;"jul";500;3;"no"
44985;11;"oct";383;2;"yes"
850;7;"may";732;2;"yes"
24208;17;"nov";80;1;"no"
5417;23;"may";456;2;"no"
43011;11;"feb";397;2;"yes"
20709;13;"aug";206;2;"no"
39358;18;"may";28;6;"no"
33628;20;"apr";20;2;"no"
18079;30;"jul";94;5;"no"
12945;7;"jul";210;2;"no"
10215;11;"jun";157;6;"no"
40215;9;"jun";337;3;"no"
36172;11;"may";701;1;"yes"
24781;18;"nov";116;1;"no"
484;6;"may";187;1;"no"
39051;18;"may";616;1;"yes"
4175;19;"may";228;1;"no"
29248;2;"feb";115;2;"no"
42898;4;"feb";146;5;"no"
30216;5;"feb";699;1;"yes"
4205;19;"may";258;1;"no"
38103;15;"may";69;5;"no"
31326;12;"mar";2330;5;"yes"
5202;21;"may";322;2;"no"
18312;31;"jul";81;6;"no"
37532;13;"may";48;4;"no"
16350;23;"jul";70;1;"no"
4136;19;"may";95;1;"no"
17813;29;"jul";176;4;"no"
28983;2;"feb";174;1;"no"
11862;20;"jun";14;6;"no"
4477;20;"may";132;1;"no"
7116;29;"may";102;1;"no"
38808;18;"may";77;3;"no"
42102;2;"nov";53;2;"no"
11037;17;"jun";76;4;"no"
35026;6;"may";251;4;"no"
9740;9;"jun";61;1;"no"
11140;18;"jun";34;6;"no"
10186;11;"jun";678;4;"no"
41627;25;"sep";105;1;"no"
9627;6;"jun";354;5;"no"
29022;2;"feb";130;1;"no"
24930;18;"nov";99;1;"no"
31675;7;"apr";43;3;"no"
4643;20;"may";212;2;"no"
20934;13;"aug";58;5;"no"
35835;8;"may";87;1;"no"
25838;19;"nov";231;2;"no"
9961;9;"jun";152;2;"no"
34754;6;"may";248;1;"no"
8655;3;"jun";229;2;"no"
25333;18;"nov";238;3;"no"
10212;11;"jun";204;2;"no"
25496;19;"nov";310;4;"no"
39773;1;"jun";65;1;"no"
40559;8;"jul";64;3;"no"
6910;28;"may";315;2;"no"
28182;29;"jan";140;1;"no"
40997;13;"aug";83;1;"no"
2834;14;"may";80;1;"no"
6919;28;"may";1730;1;"yes"
12555;3;"jul";131;1;"no"
9909;9;"jun";98;1;"no"
14094;11;"jul";504;2;"no"
5793;26;"may";40;1;"no"
27963;28;"jan";216;1;"no"
4649;20;"may";127;2;"no"
24315;17;"nov";70;1;"no"
19363;6;"aug";39;9;"no"
28474;29;"jan";369;2;"no"
31566;3;"apr";285;1;"no"
27320;21;"nov";75;5;"no"
21495;19;"aug";177;8;"no"
24678;17;"nov";167;3;"no"
21157;14;"aug";129;2;"no"
35555;7;"may";589;2;"no"
37604;14;"may";84;4;"no"
21218;18;"aug";48;6;"no"
28807;30;"jan";241;1;"no"
40284;15;"jun";94;2;"no"
36980;13;"may";46;4;"no"
10502;16;"jun";109;3;"no"
31846;8;"apr";93;2;"no"
31282;6;"mar";207;2;"yes"
30706;6;"feb";80;2;"no"
13950;10;"jul";240;1;"no"
32116;15;"apr";651;4;"no"
38127;15;"may";306;4;"no"
3405;15;"may";253;2;"no"
34031;30;"apr";198;1;"no"
5886;26;"may";175;3;"no"
24108;30;"oct";248;1;"yes"
15619;21;"jul";156;1;"no"
2953;14;"may";521;2;"no"
43645;6;"may";160;1;"no"
44943;6;"oct";604;2;"no"
35425;7;"may";122;2;"no"
38923;18;"may";309;1;"yes"
34965;6;"may";197;1;"no"
35759;8;"may";212;2;"no"
6150;27;"may";427;1;"no"
17677;29;"jul";92;2;"no"
31032;11;"feb";446;1;"yes"
38917;18;"may";170;2;"no"
37187;13;"may";204;1;"no"
