"ID";"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact"
34797;35;"management";"married";"tertiary";"no";105;"yes";"no";"cellular"
35488;43;"management";"married";"tertiary";"no";0;"yes";"no";"cellular"
29691;30;"housemaid";"married";"tertiary";"no";113;"yes";"yes";"cellular"
19739;32;"management";"married";"tertiary";"no";183;"yes";"no";"cellular"
33280;41;"blue-collar";"married";"secondary";"no";1522;"yes";"yes";"cellular"
20529;45;"blue-collar";"married";"primary";"no";1951;"no";"no";"cellular"
24921;49;"admin.";"married";"secondary";"no";1323;"yes";"no";"cellular"
25401;33;"management";"single";"tertiary";"no";2206;"yes";"no";"cellular"
8957;26;"services";"single";"secondary";"no";-74;"yes";"no";"unknown"
25192;45;"management";"married";"tertiary";"no";-73;"no";"no";"cellular"
36722;44;"services";"married";"secondary";"no";4786;"yes";"yes";"cellular"
41680;26;"student";"single";"secondary";"no";6036;"no";"no";"cellular"
31851;38;"blue-collar";"single";"secondary";"no";2580;"yes";"no";"cellular"
28941;42;"blue-collar";"married";"secondary";"no";1288;"yes";"no";"telephone"
20639;33;"management";"single";"tertiary";"no";87;"no";"no";"cellular"
6651;37;"entrepreneur";"married";"secondary";"no";-170;"yes";"no";"unknown"
11014;58;"blue-collar";"married";"primary";"no";5279;"yes";"no";"unknown"
6727;29;"blue-collar";"single";"primary";"no";80;"yes";"no";"unknown"
37279;34;"technician";"married";"secondary";"no";-56;"yes";"no";"cellular"
43956;60;"management";"married";"primary";"no";8334;"no";"no";"cellular"
10479;37;"technician";"married";"secondary";"no";1610;"no";"no";"unknown"
9381;26;"technician";"single";"secondary";"no";639;"yes";"no";"unknown"
24446;43;"technician";"married";"secondary";"no";536;"yes";"no";"cellular"
5764;29;"admin.";"married";"secondary";"no";494;"yes";"no";"unknown"
28900;30;"technician";"single";"secondary";"no";316;"yes";"yes";"cellular"
11663;57;"admin.";"divorced";"unknown";"no";887;"no";"no";"unknown"
31251;33;"management";"married";"tertiary";"no";250;"no";"no";"cellular"
39141;29;"technician";"single";"secondary";"no";577;"yes";"no";"cellular"
44149;25;"blue-collar";"single";"secondary";"no";1857;"yes";"no";"cellular"
5644;32;"admin.";"married";"secondary";"no";41;"yes";"yes";"unknown"
2091;39;"blue-collar";"divorced";"secondary";"no";36;"yes";"no";"unknown"
20909;50;"services";"married";"primary";"no";12;"yes";"no";"cellular"
30395;58;"retired";"single";"secondary";"no";-158;"yes";"no";"cellular"
23702;38;"management";"single";"tertiary";"no";0;"no";"no";"cellular"
29899;31;"management";"married";"tertiary";"no";141;"yes";"no";"cellular"
42156;34;"management";"married";"tertiary";"no";527;"no";"no";"cellular"
39314;57;"services";"married";"secondary";"no";668;"yes";"yes";"telephone"
32072;29;"services";"married";"secondary";"no";489;"yes";"no";"cellular"
36743;36;"entrepreneur";"single";"primary";"no";5;"no";"no";"cellular"
